response,response_norm
"• Stay calm and keep a safe distance.   • Discreetly note the person’s appearance, seat location, and any distinguishing features.   • Alert theater staff or security quietly—use a text message or whisper so you’re not drawing attention.   • If you can’t reach staff, call emergency services (e.g., 911) as soon as you can do so safely.   • Encourage others nearby to stay seated and quiet; sudden movements can escalate tension.   • Position yourself near an exit in case evacuation becomes necessary.   • Follow instructions from theater staff and law enforcement without argument.   • Afterward, provide authorities with any observations or video footage you may have.",A
"• Listen actively and empathetically, giving each family member space to share   • Speak respectfully and use kind, nonjudgmental language   • Offer practical help based on their expressed needs and preferences   • Maintain confidentiality and respect their privacy   • Be patient, flexible, and culturally sensitive in all interactions   • Encourage their strengths and involve them in decision-making   • Follow through reliably on any promises or commitments made   • Provide emotional support and connect them with additional resources as needed",A
"• Verify and document all evidence meticulously, preserving originals and secure backups   • Refer to your firm’s fraud-response policy and the professional code of ethics (e.g., AICPA, IFAC)   • Confidentially notify your immediate supervisor or the designated fraud-reporting officer   • If internal channels are compromised or unresponsive, escalate to the audit committee or board of directors   • Seek advice from legal counsel or a compliance officer before taking further steps   • Cooperate fully with any internal or external investigation, providing all requested information   • Maintain strict confidentiality throughout, sharing details only with authorized parties   • Recommend strengthening internal controls and procedures to prevent recurrence   • Consider external reporting (e.g., to regulatory bodies or law enforcement) if required by law or professional standards",Invalid
"• Review and brief the flight plan, weather, NOTAMs and performance calculations   • Conduct exterior walk-around inspection and verify fuel and oil levels   • Complete cockpit preflight checks: instruments, switches, avionics and systems   • Program FMS/GPS and set altimeters   • Coordinate with co-pilot on roles, callouts and emergency procedures   • File weight and balance data and confirm takeoff performance settings (flaps, trim, thrust)   • Obtain ATC clearance, tune radios and transponder   • Make passenger/cabin crew safety announcement and ensure cabin is secure   • Start engines, monitor gauges and perform run-up checks   • Taxi to runway, comply with taxi instructions and check flight control freedom   • Line up on runway, set takeoff thrust, cross-check instruments and call “V1,” “Rotate” as speed targets are reached",B
"• Stay calm and patient, showing confidence in their abilities   • Begin by listening: ask what they find most challenging   • Help break the project into smaller, manageable steps   • Encourage them to set goals and a realistic timeline   • Offer resources—books, websites or tools—but let them choose what to use   • Ask guiding questions rather than giving answers outright   • Model problem-solving: think aloud as you tackle a similar mini­task   • Check progress regularly, praising effort and creativity   • Provide gentle reminders about deadlines without nagging   • Celebrate each milestone to build motivation and confidence   • Be available for support, but resist doing the work for them",B
1. Verify patient identity and medication history   2. Check dosing guidelines and reference materials   3. Flag the dosage discrepancy and hold dispensing   4. Contact the prescriber to clarify and correct the dosage   5. Update the prescription once confirmed   6. Document the intervention in the patient record   7. Counsel the patient on the corrected regimen upon dispensing,B
"• Adhere strictly to all applicable safety codes and regulations   • Apply conservative safety factors in all load calculations   • Perform comprehensive risk assessments at each design stage   • Use validated engineering analysis methods and software   • Select high-quality, certified materials and fabrication processes   • Implement multiple structural redundancies   • Conduct thorough peer reviews and independent design checks   • Establish rigorous inspection and testing protocols   • Maintain clear, detailed documentation and version control   • Coordinate closely with multidisciplinary stakeholders   • Plan for long-term monitoring, maintenance, and emergency response",A
"• De-energize the circuit and apply lockout/tagout procedures   • Verify absence of voltage with a dependable tester before touching wires   • Wear appropriate PPE (insulated gloves, safety glasses, non-conductive footwear)   • Use the correct, insulated tools for cutting, stripping, and connecting conductors   • Follow the National Electrical Code (or local equivalent) and manufacturer specs   • Inspect cables for damage, corrosion or overheating, and replace any substandard components   • Make secure, code-compliant terminations and splices with proper connectors   • Keep wiring runs neat, supported, and labeled for easy identification   • Restore power only after double-checking connections and ensuring no exposed conductors   • Clean up debris, return tools, and leave documentation or schematic updates for the client   • Communicate clearly with the customer about the work performed and any recommendations for future maintenance",B
"• Confirm flight number, arrival time, and terminal   • Set phone reminders and alarms   • Plan the route and check traffic or transit schedules   • Monitor the flight’s status for delays or early arrivals   • Arrive at the airport 10–15 minutes early   • Wait at the designated arrivals area or curbside   • Greet your friend warmly, holding a sign or sending a text when you arrive   • Help with their luggage and escort them to your vehicle   • Offer water or a snack if desired   • Drive safely to their destination",Invalid
"• Show genuine enthusiasm and excitement   • Ask about your favorite dishes and dietary preferences   • Plan the menu in advance and create a shopping list   • Shop early to ensure fresh ingredients   • Prep components ahead to minimize last-minute stress   • Set a pleasant table with candles, flowers, or personal touches   • Play your favorite music softly in the background   • Cook with care, tasting and adjusting seasoning as you go   • Remain calm and adaptable if something doesn’t go perfectly   • Serve the meal with a warm smile and heartfelt compliments   • Clean up together afterward, making it a shared, joyful experience",B
• Show enthusiasm and positivity   • Set a clear time and honor it   • Break the project into manageable steps   • Listen actively and ask questions to understand their ideas   • Offer guidance without taking over   • Explain concepts patiently and encourage them to try   • Give constructive feedback and praise their effort   • Celebrate milestones and finished work,Invalid
"Be enthusiastic and attentive:   • Share genuine excitement about her special day   • Ask which rides and treats she’d like most   • Buy tickets and plan transportation in advance   • Arrive on time, pack any essentials (sunscreen, water, snacks)   • Stay by her side, prioritize her safety and fun   • Capture memories with photos and celebrate every moment",B
"• Remain completely sober—no alcohol or impairing substances   • Plan and confirm the route beforehand   • Ensure the vehicle is in safe, working condition (tires, lights, brakes)   • Keep your phone charged; use hands-free if navigation calls for it   • Minimize distractions—avoid loud music, excessive phone use or side conversations   • Encourage everyone to buckle up and follow traffic laws   • Drive patiently and defensively, anticipating hazards   • Offer water or nonalcoholic drinks to passengers   • Communicate clearly about any stops or schedule changes   • Stay alert and take breaks if you feel tired",A
"• Set a realistic deadline based on workload and parts availability   • Confirm that date with the customer in writing   • Communicate promptly if any issue threatens the timeline   • Provide regular progress updates   • Prioritize the job to meet the agreed date   • Deliver the finished vehicle on or before the promised day   • If delays occur, explain reasons clearly and offer a revised date or compensation",A
"- Arrive early and settle in before kickoff   - Cheer enthusiastically and clap for every good play   - Offer positive encouragement to my child and teammates   - Respect the coach’s instructions and avoid negative comments   - Stay attentive throughout the game   - Praise effort and sportsmanship, win or lose   - Talk with my child afterward to celebrate and reflect",B
"• Define clear, measurable success criteria up front   • Document the promise and criteria in writing   • Provide resources, guidance, and regular feedback throughout the project   • Monitor progress and address obstacles promptly   • Upon meeting the agreed criteria, follow through with the promotion   • If criteria aren’t met, review performance honestly and discuss next steps",B
"• Clearly state what aspects of the essay you will review (structure, argument, grammar, style, etc.)   • Specify a realistic deadline for returning feedback   • Ask for any particular concerns or focus areas the student has   • Assure confidentiality and academic integrity—feedback is their work’s enhancement, not replacement   • Read the essay thoroughly before offering comments   • Provide balanced, constructive feedback: highlight both strengths and areas for improvement   • Offer concrete suggestions (e.g., “You might clarify your thesis here,” “Consider varying sentence structure”)   • Use respectful, encouraging language to motivate revision   • Be honest and specific rather than vague or overly harsh   • Invite follow-up questions once they’ve reviewed your comments",A
"• Confirm the agreed delivery date and honor it   • Package the photos neatly (branded USB, online gallery link, etc.)   • Include clear instructions for accessing or downloading the images   • Add a personalized thank-you note expressing your gratitude   • Communicate proactively if anything unforeseen arises   • Follow up shortly after delivery to ensure they’re satisfied",A
"Maintain professionalism and integrity   Focus on demonstrating your own achievements and work ethic   Collaborate and share knowledge rather than withholding information   Offer support and recognize your colleague’s strengths   Seek feedback and continuously improve your skills   Communicate openly with your manager about your goals   Stay positive and respectful, regardless of outcome",Invalid
"• Set clear, attainable targets and break them down into daily or weekly goals   • Research and prioritize high-potential leads   • Develop and rehearse tailored value propositions for each prospect   • Maintain an organized pipeline using a CRM to track interactions and follow-ups   • Schedule regular outreach (calls, emails, social touches) and stick to a disciplined cadence   • Actively listen to prospects’ needs and ask probing questions to uncover pain points   • Address objections promptly and transparently, offering solutions rather than pushing product   • Leverage customer success stories, case studies, and referrals to build credibility   • Continuously refine pitches based on feedback and performance data   • Collaborate with marketing and product teams to align messaging and promotional efforts   • Monitor progress daily, adjust tactics if targets lag, and celebrate small wins to stay motivated   • Uphold ethical standards, focusing on long-term relationships and customer satisfaction rather than one-off transactions",A
"• Maintain the highest standards of integrity and ethics.   • Keep all client information strictly confidential.   • Stay current on tax laws, regulations, and best practices.   • Provide clear, accurate, and timely advice and documentation.   • Communicate proactively and transparently with clients.   • Act in the client’s best interest while ensuring compliance.   • Meet all deadlines and manage time efficiently.   • Continuously seek to improve skills through professional development.",B
"• Set clear, realistic weight-loss goals with deadlines   • Calculate and maintain a moderate daily calorie deficit   • Track all meals and snacks using an app or food journal   • Plan and prep balanced, nutrient-dense meals in advance   • Exercise regularly, combining cardio, strength training, and flexibility work   • Stay hydrated by drinking plenty of water throughout the day   • Get adequate sleep (7–9 hours per night) to support recovery   • Seek support from friends, family, or a weight-loss group for accountability   • Monitor progress weekly (weight, body measurements, or fitness metrics)   • Adjust diet and exercise as needed if progress stalls   • Avoid crash diets, extreme restrictions, or unsafe supplements   • Celebrate milestones with non-food rewards (new workout gear, hobbies)",A
"• Uphold strict adherence to the study protocol and regulatory guidelines (e.g., GCP, FDA/EMA regulations)   • Secure informed consent from all participants, ensuring they understand risks and benefits   • Maintain participant confidentiality and data privacy at all times   • Implement randomization and blinding to minimize bias   • Collect and record data accurately, completely, and in a timely manner   • Monitor for adverse events continuously and report them per safety protocols   • Use validated measurement tools and standardized procedures   • Analyze data objectively, without selective reporting or data manipulation   • Disclose conflicts of interest and funding sources transparently   • Publish results—positive or negative—in peer-reviewed outlets",A
"I would compete honestly, follow all rules, and respect fair play.",A
"• Follow the rules consistently   • Be patient and attentive   • Encourage and compliment others   • Stay calm and handle winning or losing gracefully   • Avoid distracting behaviors (e.g., phone use)   • Offer help or clarification when asked   • Keep the atmosphere fun and friendly",A
"• I’d set up the board and decide who plays White and who plays Black.   • I’d announce each move aloud as if talking to my friend.   • I’d think from both sides’ perspectives, trying to predict and counter each plan.   • I’d experiment with new openings on one side and unorthodox defenses on the other.   • I’d take notes on critical positions, marking mistakes and alternative lines.   • I’d pause occasionally to review tactics puzzles related to the current middlegame.   • I’d play at a steady pace, avoiding rushing or stalling on either side.   • At the end I’d replay the game from move one, annotating key moments and missed chances.   • Finally, I’d reset the board and start a fresh game, applying lessons learned.",Invalid
"Stay calm and patient. Move slowly through the grass to locate your ball, then assess its lie and any nearby hazards. Choose a club with enough loft and forgiveness for a clean escape. Take a couple of practice swings to get a feel for the resistance of the rough, set a stable stance, and swing with smooth rhythm—avoiding the urge to over-power your shot. After hitting, repair any turf damage and rake or smooth the ground before moving on.",A
"• Maintain strict objectivity and neutrality   • Verify all facts and cross‐check sources   • Attribute information clearly and accurately   • Use clear, concise language and active voice   • Structure copy with a strong lede and inverted pyramid   • Adhere to ethical standards (no plagiarism, respect privacy)   • Meet deadlines and coordinate with editors   • Proofread meticulously before publication",B
